cluster_id,rank,topic_col,mean_prevalence
-1,1,topic_11,0.5878003853621353
-1,2,topic_7,0.1793358275260582
-1,3,topic_8,0.17341591663837633
0,1,topic_11,0.549304039641262
0,2,topic_0,0.166055515314974
0,3,topic_12,0.15679686198172685
1,1,topic_11,0.50983456999783
1,2,topic_7,0.28544178356965216
1,3,topic_8,0.2768700572339749
2,1,topic_11,0.6222387365897625
2,2,topic_12,0.14758054058519243
2,3,topic_7,0.12499689046935923
3,1,topic_11,0.6021966232247276
3,2,topic_7,0.16693558214312584
3,3,topic_12,0.16324772750857902
4,1,topic_11,0.6385853533222418
4,2,topic_12,0.13939693061280928
4,3,topic_4,0.12487776241499997
5,1,topic_11,0.6183256844876603
5,2,topic_12,0.1502638524682887
5,3,topic_4,0.113342858399801
6,1,topic_11,0.5871708094040241
6,2,topic_12,0.16754622379652684
6,3,topic_7,0.12602586251878367
