scenario,metal,window,ate,se,n_treated,n_control,small_n
hawkish_fomc,GC=F,full,-0.014349241213378355,0.004034032289999117,35,4081,False
hawkish_fomc,GC=F,2010_2014,-0.021076229624959798,0.012140878490821173,8,1250,True
hawkish_fomc,GC=F,2015_2019,-0.014306508036824428,0.006115982909148239,16,1239,True
hawkish_fomc,GC=F,2020_2026,-0.009057824692671764,0.004003696399693556,11,1592,True
hawkish_fomc,SI=F,full,-0.029533804006386416,0.008764758115840893,35,4081,False
hawkish_fomc,SI=F,2010_2014,-0.06661989888692749,0.024873727500081145,8,1250,True
hawkish_fomc,SI=F,2015_2019,-0.02151627390013194,0.009912891615700636,16,1239,True
hawkish_fomc,SI=F,2020_2026,-0.012413090871873077,0.009380075310445875,11,1592,True
hawkish_fomc,PL=F,full,-0.016832144186715744,0.0061247532148853735,35,4054,False
hawkish_fomc,PL=F,2010_2014,-0.026244740112576208,0.014865237330697938,8,1250,True
hawkish_fomc,PL=F,2015_2019,-0.016022317661022148,0.005734539647474509,16,1212,True
hawkish_fomc,PL=F,2020_2026,-0.00983112311032355,0.010197128405292655,11,1592,True
hawkish_fomc,PA=F,full,-0.016123094978552584,0.010029162202998671,34,3986,False
hawkish_fomc,PA=F,2010_2014,,,7,1209,True
hawkish_fomc,PA=F,2015_2019,-0.015296118893304645,0.013776660061419128,16,1212,True
hawkish_fomc,PA=F,2020_2026,0.004242310014766008,0.021977752245929152,11,1565,True
dovish_fomc,GC=F,full,0.005743988499527293,0.00338470928229324,35,4081,False
dovish_fomc,GC=F,2010_2014,0.0019003468065546935,0.007666121061615788,16,1242,True
dovish_fomc,GC=F,2015_2019,0.0137951899587365,0.006521543393264165,13,1242,True
dovish_fomc,GC=F,2020_2026,,,6,1597,True
dovish_fomc,SI=F,full,0.0031975020347953824,0.007251864045771252,35,4081,False
dovish_fomc,SI=F,2010_2014,-0.00514427510643068,0.02069464028749891,16,1242,True
dovish_fomc,SI=F,2015_2019,0.01124359075319734,0.009351970802075015,13,1242,True
dovish_fomc,SI=F,2020_2026,,,6,1597,True
dovish_fomc,PL=F,full,0.005020091277829443,0.0036784016795308595,34,4055,False
dovish_fomc,PL=F,2010_2014,0.00610769669133658,0.00638129998592771,16,1242,True
dovish_fomc,PL=F,2015_2019,0.00796106785351702,0.006926054661257869,12,1216,True
dovish_fomc,PL=F,2020_2026,,,6,1597,True
dovish_fomc,PA=F,full,0.01908268719499743,0.008094225870807954,33,3987,False
dovish_fomc,PA=F,2010_2014,0.019538340106067684,0.009554047546745744,15,1201,True
dovish_fomc,PA=F,2015_2019,0.018204846888011456,0.010648962347921644,12,1216,True
dovish_fomc,PA=F,2020_2026,,,6,1570,True
gpr_spike,GC=F,full,-0.008910845791021976,0.004753229531823372,206,3910,False
gpr_spike,GC=F,2010_2014,-0.004715153236248302,0.010110196189582947,33,1225,False
gpr_spike,GC=F,2015_2019,0.008834294915526696,0.008705226292478725,65,1190,False
gpr_spike,GC=F,2020_2026,-0.0071973618311162915,0.012173955227122514,108,1495,False
gpr_spike,SI=F,full,-0.00187558422683432,0.009818307598014156,206,3910,False
gpr_spike,SI=F,2010_2014,-0.0045931339517438245,0.02211445046050776,33,1225,False
gpr_spike,SI=F,2015_2019,0.003812924786137396,0.0137037870355547,65,1190,False
gpr_spike,SI=F,2020_2026,-0.032354688512505,0.026729536996678474,108,1495,False
gpr_spike,PL=F,full,7.055482673765504e-05,0.007353985345194714,206,3883,False
gpr_spike,PL=F,2010_2014,-0.004689300071004294,0.013053457555819267,33,1225,False
gpr_spike,PL=F,2015_2019,-0.0018151493985177451,0.014683558043859624,65,1163,False
gpr_spike,PL=F,2020_2026,-0.009648979457601415,0.027335570822882842,108,1495,False
gpr_spike,PA=F,full,0.0027789282442643023,0.00974252712673857,204,3816,False
gpr_spike,PA=F,2010_2014,0.0010108945930072475,0.019718909259102354,32,1184,False
gpr_spike,PA=F,2015_2019,-0.00519361125397221,0.02085615110080022,65,1163,False
gpr_spike,PA=F,2020_2026,0.028678530043580678,0.02966672963327012,107,1469,False
dxy_up_shock,GC=F,full,0.004016811001486333,0.00436055434464021,114,4002,False
dxy_up_shock,GC=F,2010_2014,0.009564634061466824,0.010595661549725596,40,1218,False
dxy_up_shock,GC=F,2015_2019,0.002095453338852702,0.007211577349801967,32,1223,False
dxy_up_shock,GC=F,2020_2026,0.004134574606831421,0.007164646190726337,42,1561,False
dxy_up_shock,SI=F,full,0.0023884927967964217,0.00794467538154557,114,4002,False
dxy_up_shock,SI=F,2010_2014,0.01625134326135866,0.01799013781720745,40,1218,False
dxy_up_shock,SI=F,2015_2019,0.002454340571282914,0.01689330793614559,32,1223,False
dxy_up_shock,SI=F,2020_2026,0.009674404585905093,0.01204850741313236,42,1561,False
dxy_up_shock,PL=F,full,-0.009120796376010423,0.006062223237536743,112,3977,False
dxy_up_shock,PL=F,2010_2014,-0.010239864975745135,0.011350903158855286,40,1218,False
dxy_up_shock,PL=F,2015_2019,-0.009236081988918848,0.012091856069071314,30,1198,False
dxy_up_shock,PL=F,2020_2026,-0.00879172888080016,0.02234534346644232,42,1561,False
dxy_up_shock,PA=F,full,0.012473487978970646,0.006854765342785782,108,3912,False
dxy_up_shock,PA=F,2010_2014,0.002624638473717241,0.018781767015679605,38,1178,False
dxy_up_shock,PA=F,2015_2019,-0.01731875169490591,0.015864777089113297,30,1198,False
dxy_up_shock,PA=F,2020_2026,0.039153623199962795,0.013621781289312752,40,1536,False
dxy_down_shock,GC=F,full,0.0011467633881832404,0.003542917845214416,70,4046,False
dxy_down_shock,GC=F,2010_2014,0.0030068624719675587,0.006995742314432711,13,1245,True
dxy_down_shock,GC=F,2015_2019,-0.0010276199823147202,0.0057144753891924275,15,1240,True
dxy_down_shock,GC=F,2020_2026,0.01051254812346858,0.008145069853178685,42,1561,False
dxy_down_shock,SI=F,full,-0.0056004771802365995,0.007220625139712486,70,4046,False
dxy_down_shock,SI=F,2010_2014,-0.0037784192694026806,0.008386698727099982,13,1245,True
dxy_down_shock,SI=F,2015_2019,0.0033420900638615088,0.009486063158877043,15,1240,True
dxy_down_shock,SI=F,2020_2026,0.0026096214648550224,0.016357431708754706,42,1561,False
dxy_down_shock,PL=F,full,0.0003019180780636918,0.006472590449319258,67,4022,False
